,Hasil_GeoHash,LATITUDE,LONGITUDE,Lat_Error,Long_Error,MAG,KEDALAMAN
4,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
6,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
7,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
18,wc488g,5.732116699,127.3040771,0.002746582,0.005493164,4.6,10
21,wc488g,5.732116699,127.3040771,0.002746582,0.005493164,4.6,10
29,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
35,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
37,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
41,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
46,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
52,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
61,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
70,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
72,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
76,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
77,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
80,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
94,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
96,wb9rcq,4.210510254,125.5682373,0.002746582,0.005493164,4.6,10
99,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
104,wb9rcq,4.210510254,125.5682373,0.002746582,0.005493164,4.6,10
109,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
111,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
121,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
135,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
139,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
150,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
162,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
165,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
172,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
173,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
176,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
180,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
183,wb9rcq,4.210510254,125.5682373,0.002746582,0.005493164,4.6,10
185,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
189,qxzxbk,-0.019226074,123.0633545,0.002746582,0.005493164,4.2,10
194,qz6wvz,-2.991027832,127.5238037,0.002746582,0.005493164,4,10
198,qxzxbk,-0.019226074,123.0633545,0.002746582,0.005493164,4.2,10
211,wb9rcq,4.210510254,125.5682373,0.002746582,0.005493164,4.6,10
214,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
215,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
218,qxzxbk,-0.019226074,123.0633545,0.002746582,0.005493164,4.2,10
219,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
225,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
230,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
243,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
250,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
252,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
260,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
283,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
293,w01mkh,0.947570801,91.93908691,0.002746582,0.005493164,4.6,10
300,qw92bq,-8.269958496,114.274292,0.002746582,0.005493164,4.4,10
306,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
308,w028mv,1.480407715,90.96130371,0.002746582,0.005493164,4.6,10
313,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
319,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
324,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
325,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
326,w01jxq,1.002502441,91.73034668,0.002746582,0.005493164,4.6,10
327,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
331,qws1vp,-8.088684082,118.3502197,0.002746582,0.005493164,4.4,10
334,qxzsgd,-0.557556152,123.2061768,0.002746582,0.005493164,4.2,10
340,qw92bq,-8.269958496,114.274292,0.002746582,0.005493164,4.4,10
341,qw92bq,-8.269958496,114.274292,0.002746582,0.005493164,4.4,10
355,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
357,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
359,wb9rcq,4.210510254,125.5682373,0.002746582,0.005493164,4.6,10
363,w01mkh,0.947570801,91.93908691,0.002746582,0.005493164,4.6,10
366,w01n7f,1.112365723,91.57653809,0.002746582,0.005493164,4.6,10
373,w09vp7,3.710632324,92.78503418,0.002746582,0.005493164,4.6,10
378,qw92bq,-8.269958496,114.274292,0.002746582,0.005493164,4.4,10
384,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
387,w01jgt,1.04095459,91.56555176,0.002746582,0.005493164,4.6,10
